Issue ID,Title,Description,Created At,State,Issue URL,emotion_sentiment,fine_grained_sentiment,thinking
3247320155,dont suggest,"
Type: <b>Bug</b>

# Description
please do not show those sugggestions


Extension version: 0.29.1
VS Code version: Code 1.102.1 (7adae6a56e34cb64d08899664b814cf620465925, 2025-07-15T16:41:17.147Z)
OS version: Windows_NT x64 10.0.26100
Modes:

# Inline Edits Debug Info
## Result:
``` patch
  517 517               """",
  518 518             paymentDueDate:
- 519                   prevData.overduePaymentAdjustment?.[0]?.paymentDueDate ||
+     519               prevData.rateDifferenceAdjustment?.[0]?.paymentDueDate ||
  520 520               firstAdjustment.paymentDueDate ||
  521 521               """",
  522 522             paymentReferenceNumber:
```
### Info:
**From cache:** YES (Request: 878)
**Trigger Kind:** Automatic
**Request UUID:** icr-e380d590-d237-4167-9b03-e808a4bb58a2<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|12th Gen Intel(R) Core(TM) i5-1235U (12 x 2496)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|15.69GB (2.08GB free)|
|Process Argv|--crash-reporter-id 7b3bba53-8f0f-477c-b376-1298407dc3f6|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
binariesv615:30325510
0bi6i642:31350688
h48ei257:31000450
nativeloc1:31344060
5fd0e150:31155592
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
9064b325:31222308
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
pythonpulldiag:31343502
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
6518g693:31334701
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixf:31350060
9d2cg352:31346308
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31350861
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31350020
onetestforazureexpcf:31335614
6abeh943:31336334
yijiwantestdri0626-c:31336931
0927b901:31350571
ji9b5146:31348712
8gib2676:31349286
7g84e740:31350607
1c1c4419-mono:31350621

```

</details>

<!-- generated by issue reporter -->",2025-07-21T05:58:24Z,open,https://github.com/microsoft/vscode/issues/257000,Anger,Negative,"The email body appears to be a bug report with a clear description of the issue (""please do not show those suggestions"") and includes technical details such as error codes, version numbers, and system information. The tone is formal and objective, but the presence of a bug report typically implies a negative experience or issue with the product or service. The sentiment is not extremely negative (e.g., ""Very Negative"") because the tone remains professional and does not contain aggressive language. The emotion-based sentiment of Anger is inferred because the report describes a problem (bug) that the user is experiencing, which can evoke frustration or irritation. However, the tone does not explicitly express anger."
3247295003,Refactor -> `Move to a new file`/`Move to file` not work if contains 3rd party tag function imported as default,"
Type: <b>Bug</b>

I noticed that `Refactor` -> `Move ...` not work occasionally. I did some investigation and below is the minimal reproducible example.

```js
// index.js

// for this example variable, `Move ...` would work even if the `./template.js` file not exist, and even its import statement not exist
import { template } from ""./template"";
export const canMoveRelativeTemplateString = template``;

import dedent from ""dedent"";
export const cannotMoveDependencyTemplateString1 = dedent``;

// interestingly, this works
import looksLikeDependency from ""not-exist"";
export const canMoveDependencyTemplateString2 = looksLikeDependency``;
```


VS Code version: Code 1.102.1 (Universal) (7adae6a56e34cb64d08899664b814cf620465925, 2025-07-15T16:41:17.147Z)
OS version: Darwin arm64 24.5.0
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Apple M1 Pro (10 x 2400)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: enabled_on<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|8, 8, 7|
|Memory (System)|32.00GB (0.11GB free)|
|Process Argv|--crash-reporter-id 0955f262-3647-42ae-8be7-e0a76907fed4 --crash-reporter-id 0955f262-3647-42ae-8be7-e0a76907fed4|
|Screen Reader|no|
|VM|0%|
</details>Extensions disabled<details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
binariesv615:30325510
vscrpc:30673769
962ge761:31350689
h48ei257:31000450
nativeloc1:31344060
5fd0e150:31155592
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
hdaa2157:31222309
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
pythonpulldiag:31343502
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixt:31350061
9d2cg352:31346308
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31350858
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31350020
6abeh943:31336334
yijiwantestdri0626-t:31336930
0927b901:31350571
f76d9909:31348711
0cj2b977:31350606
a02b4192-color:31350622

```

</details>

<!-- generated by issue reporter -->",2025-07-21T05:46:16Z,open,https://github.com/microsoft/vscode/issues/256999,Frustration/Anger ( leaning towards Anger),Negative,"The email body reports a bug and provides a detailed reproducible example, indicating a problem with the functionality of ""Refactor"" -> ""Move ..."" in the user's experience. The tone is informative but inherently negative due to the reporting of an issue. The user's frustration is evident from the effort to investigate and document the problem, suggesting an emotional tone that aligns more with anger or frustration than pure sadness or fear. However, given the provided emotion categories, 'Anger' seems to best capture the sentiment behind reporting a bug that causes inconvenience."
3247279585,"Copilot's Workspace Index forever stays in ""Checking index status""","<!-- Please search existing issues to avoid creating duplicates -->
<!-- Please attach logs to help us diagnose your issue -->

- Copilot Chat Extension Version: Chat v0.29.1, Copilot v1.344.0, 
- VS Code Version: 1.102.0
- OS Version: Windows 11 (Windows_NT x64 10.0.26100)
- Feature (e.g. agent/edit/ask mode): Workspace index
- Selected model (e.g. GPT 4.1, Claude 3.7 Sonnet):
- Logs:

Steps to Reproduce:

1. Go to the Copilot icon in the bottom right of VS Code
2. Click on it
3. Review the ""Workspace index"" section
4. Note how it always says ""checking index status""

Description:
I have a repo on Bitbucket that I'm using. Therefore I cannot use a remote index. I also think the repo is too big to be a local index. However, I am noticing that the Workspace Index forever tells me ""Checking index status"".
I have tried to execute the command _Github Copilot: Build local workspace index_ through the Command Palette. After 8+ hours, it is apparently still busy building the index, which seems way too long for me.
Both of these observations are giving me the assumption that absolutely nothing is happening regarding the Workspace Index. I have tried restarting my computer, but I can't get past this status. 
I really hope this can be fixed, because I am noticing that Copilot's autocomplete suggestions are questionable and I hope that will be better once the index is fixed.

<img width=""525"" height=""689"" alt=""Image"" src=""https://github.com/user-attachments/assets/f593d9a4-a5ee-4f9e-9145-d9b4e931b242"" />
",2025-07-21T05:38:19Z,open,https://github.com/microsoft/vscode/issues/256998,"Frustration (which can be classified under Anger or Sadness, but most closely aligns with Anger)",Negative,"The email body expresses a clear problem the user is facing with the Workspace Index feature of Copilot, detailing a stuck process and a significant amount of time wasted trying to resolve the issue. The user's frustration is evident through their description of the issue, attempts to troubleshoot, and the impact on their experience with Copilot's autocomplete suggestions. The tone is not overly aggressive but clearly indicates dissatisfaction and irritation, aligning with a Negative sentiment and an emotion-based sentiment of Anger."
3247191876,confuses adding lines with removing lines,"
Type: <b>Bug</b>

It starts acting totally incorrect in the means of confusing 'adding' with 'removing' in matters of it calling its own tool for writing code, resulting in empty files due to that. I noticed that because suddenly the diffs were so weird before accepting, and when it created code from scratch, it showed all-red diffs and then empty files after accepted. Confirmed the bug when I confronted gpt4.1 about it and then it corrected itself. Struggle a lot talking to gpt4.1 due to behaving like a complete imbecil to be honest.

Extension version: 0.30.2025071801
VS Code version: Code - Insiders 1.103.0-insider (3b2551cd990a02383190cc7670021ec6c30b86df, 2025-07-18T05:03:37.281Z)
OS version: Linux x64 6.8.0-64-generic
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz (8 x 4100)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: disabled_software<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: disabled_off<br>webnn: disabled_off|
|Load (avg)|1, 1, 1|
|Memory (System)|15.42GB (6.47GB free)|
|Process Argv|--crash-reporter-id 938572bf-669b-4045-9b32-f7084ba1dfcd|
|Screen Reader|no|
|VM|0%|
|DESKTOP_SESSION|ubuntu|
|XDG_CURRENT_DESKTOP|Unity|
|XDG_SESSION_DESKTOP|ubuntu|
|XDG_SESSION_TYPE|wayland|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368cf:30146710
pythonvspyt551cf:31249598
h48ei257:31000450
nativeloc1:31118317
dwcopilot:31158714
5b1c1929:31184661
6074i472:31201624
dwoutputs:31242946
9064b325:31222308
copilot_t_ci:31333650
g012b348:31231168
pythoneinst12:31251391
c7cif404:31309980
pythonpulldiag:31287486
6gi0g917:31259950
996jf627:31264550
pythonrdcb7:31268811
usemplatestapi:31297334
jdghv92:31317040
747dc170:31275146
pythonpcpt1:31345880
6518g693:31302842
generatesymbolt:31280541
convertfstringf:31280702
9d2cg352:31346308
j97ad248:31349650
usemarketplace:31343026
0g1h6703:31329154
nes-emitfast-1:31333560
replacestringexc:31350595
6abeh943:31336334
envsactivate1:31349248
0927b901:31340060
9ca6-promptcache:31345956
editstats-enabled:31346256

```

</details>

<!-- generated by issue reporter -->",2025-07-21T04:55:29Z,open,https://github.com/microsoft/vscode/issues/256997,Anger,Negative,"The email body describes a frustrating experience with a bug in a tool, specifically mentioning that it behaved like a ""complete imbecile."" The tone is critical and annoyed, indicating a negative sentiment. The emotion-based sentiment is classified as Anger due to the use of strong language and the description of struggling with the tool."
3247147804,AI responsible againnnnnnn,"
Type: <b>Bug</b>

This is ridiculous. You cant do anything here without being told it's filtered I am using nothing but my own work.... You want to reproduce it? Try building anything with it... And the thing is I already have built this, I am just using it to check some things as I normally do wtf./

Extension version: 0.29.1
VS Code version: Code 1.102.1 (Universal) (7adae6a56e34cb64d08899664b814cf620465925, 2025-07-15T16:41:17.147Z)
OS version: Darwin arm64 24.5.0
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Apple M3 (8 x 2400)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: enabled_on<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|16, 15, 13|
|Memory (System)|8.00GB (0.09GB free)|
|Process Argv|--crash-reporter-id f817a491-d488-423a-98bd-bd1cd0416c07|
|Screen Reader|yes|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
binariesv615:30325510
962ge761:31350689
h48ei257:31000450
nativeloc1:31344060
5fd0e150:31155592
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
9064b325:31222308
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
pythonpulldiag:31343502
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
9d2cg352:31346308
convertlamdaf:31350062
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31335814
b6b4d950:31327385
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31340697
testaa123:31335226
6abeh943:31336334
yijiwantestdri0626-t:31336930
0927b901:31350571
f76d9909:31348711
nes-deb-00:31346719
0cj2b977:31350606
a02b4192-color:31350622

```

</details>

<!-- generated by issue reporter -->",2025-07-21T04:31:15Z,open,https://github.com/microsoft/vscode/issues/256996,Anger,Very Negative,"The email body expresses frustration and anger, as evident from phrases like ""This is ridiculous"" and ""wtf."" The tone is confrontational, and the language used is strong, indicating a very negative sentiment. The user's experience with the product seems to have led to a negative outcome, triggering feelings of anger."
3247096049,Deleting worktree within a worktree,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes/No

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 
- OS Version: 

Steps to Reproduce:

1. Open worktree in a window
2. Go to submenu of commands and go to delete worktree
3. Nothing happens, I assume that I can delete the worktree while I'm in the worktree itself
",2025-07-21T03:55:29Z,open,https://github.com/microsoft/vscode/issues/256995,Frustration/Anger ( leaning towards Anger),Negative,"The user is reporting an issue with VS Code where an expected action (deleting a worktree) doesn't happen, indicating a problem. The tone is not overly aggressive but clearly expresses dissatisfaction, which aligns more with 'Negative' than 'Very Negative'. The emotion seems to be 'Anger' due to the user's expectation not being met and a sense of confusion/frustration (""I assume that I can delete the worktree while I'm in the worktree itself"")."
3247089000,Filtered Responsible AI,"
Type: <b>Bug</b>

The error 127.0.0.1/:1 Failed to load resource: the server responded with a status of 404 (NOT FOUND) confirms that Flask is running, but it cannot find or serve your frontend's index.html.

This means either:

The frontend build did not produce a dist/index.html, or
Flask is not pointing to the correct static folder.
Please do the following:

Check that the file frontend/dist/index.html exists and is not empty.
If it does not exist, run:

cd frontendnpm run build
If it does exist, confirm that your app.py has this line (it should):

static_dir = os.path.join(os.path.dirname(__file__), '..', 'frontend', 'dist')app = Flask(__name__, static_folder=static_dir, static_url_path='/')
If both are correct and you still get 404, let me know the exact contents of frontend/dist (list the files).
Once you provide this info, I can give you the next step or fix.

I simply in text no screenshot pasted what was in my frontend folder showing that even after performiong the steps there is not dist in my frontend folder frontend/build frontend/const { app, BrowserWindow } = require('.js frontend/electron.cjs frontend/node_modules frontend/package-lock.json frontend/package.json frontend/src frontend/test-api.html frontend/index.css frontend/index.html frontend/public frontend/tailwind.config.js frontend/vercel.json frontend/logobro.png frontend/postcss.config.cjs frontend/start_backend.sh frontend/start_frontend.sh frontend/vite.config.js



How is this fliagged I could understand if there was maybe sensitive info but theres not. Even worse if there were I would have to post here....

Extension version: 0.29.1
VS Code version: Code 1.102.1 (Universal) (7adae6a56e34cb64d08899664b814cf620465925, 2025-07-15T16:41:17.147Z)
OS version: Darwin arm64 24.5.0
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Apple M3 (8 x 2400)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: enabled_on<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|19, 14, 12|
|Memory (System)|8.00GB (0.07GB free)|
|Process Argv|--crash-reporter-id f817a491-d488-423a-98bd-bd1cd0416c07|
|Screen Reader|yes|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
binariesv615:30325510
962ge761:31350689
h48ei257:31000450
nativeloc1:31344060
5fd0e150:31155592
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
9064b325:31222308
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
pythonpulldiag:31343502
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
9d2cg352:31346308
convertlamdaf:31350062
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31350858
b6b4d950:31327385
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31350020
testaa123:31335226
6abeh943:31336334
yijiwantestdri0626-t:31336930
0927b901:31350571
f76d9909:31348711
nes-deb-00:31346719
0cj2b977:31350606
a02b4192-color:31350622

```

</details>

<!-- generated by issue reporter -->",2025-07-21T03:51:06Z,open,https://github.com/microsoft/vscode/issues/256994,Sadness,Neutral,"The email body appears to be a technical error report and troubleshooting guide. The tone is informative and helpful, but the context of the issue (a bug/error) and the frustration expressed by the user (""How is this flagged..."") suggest a negative emotional tone. The user's sentiment can be classified as neutral, as they are simply providing information and assistance, but the underlying emotion is sadness or frustration due to the issue at hand. The user's mention of being upset about the flagging of their issue also supports the classification of sadness as the emotion-based sentiment."
3247077403,"Claude Opus 4 responses disappear after scrolling in the chat, rendering its output useless","
Type: <b>Bug</b>

1)  Ask Claude Opus 4 to perform a task
2)  After the task completes, scroll up in the chat window quite a bit
3)  Scroll  back down, all of the output / code examples from Opus are now gone from view

Extension version: 0.29.1
VS Code version: Code 1.102.1 (7adae6a56e34cb64d08899664b814cf620465925, 2025-07-15T16:41:17.147Z)
OS version: Windows_NT x64 10.0.26100
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|13th Gen Intel(R) Core(TM) i9-13900K (32 x 2995)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|63.75GB (46.27GB free)|
|Process Argv|--crash-reporter-id dc938550-1473-49c6-8fb1-ee5051c08f99|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
vspor879:30202332
vspor708:30202333
vspor363:30204092
vswsl492:30256859
pythonvspyt551:31249599
binariesv615:30325510
962ge761:30959799
h48ei257:31000450
nativeloc1:31344060
5fd0e150:31155592
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
hdaa2157:31222309
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
pythonpulldiag:31343502
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
6518g693:31334701
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
pylancequickfixt:31329274
9d2cg352:31346308
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31335814
nes-diff-11:31337487
nes-set-on:31340697
testaa123cf:31335227
6abeh943:31336334
yijiwantestdri0626-c:31336931
4gdec884:31342391
nes-deb-050:31346716

```

</details>

<!-- generated by issue reporter -->",2025-07-21T03:42:41Z,open,https://github.com/microsoft/vscode/issues/256993,Anger,Negative,"The email body appears to be a bug report, detailing a specific issue with the Claude Opus4 model where output/code examples disappear after scrolling up and down in the chat window. The tone is informative but indicates a problem, which aligns more with a negative sentiment. The emotion-based sentiment is classified as Anger because the issue seems frustrating or annoying, which are emotions closely related to anger. The detailed system information and A/B experiments suggest a technical and possibly irritating situation, further supporting the classification."
3247071163,Another responsible AI,"
Type: <b>Bug</b>


Used 1 reference
Installing requests in Python 3.13.5 (.venv)

pyinstaller --add-data ""backend:backend"" --hidden-import flask --hidden-import pywebview --hidden-import flask_cors --hidden-import requests run_desktop.py

dist/run_desktop/run_desktop
Your packaged application started successfully and all required dependencies are now included! You should see your app running as expected.

If you need to add more dependencies in the future, just install them in your environment, add them to your requirements file, and include them as hidden imports if needed when rebuilding with PyInstaller.

Let me know if you need help with anything else!

make sure all of this isncluded for next build but it didnt work. Also you got rid of all the urls said they were unnecesart for local sio maybe that? I didnt realize we would use vercel""

All i did was provide a screenshot of the white page with 404 not found because I couldnt copy and paste text from my app in vercel locally

Extension version: 0.29.1
VS Code version: Code 1.102.1 (Universal) (7adae6a56e34cb64d08899664b814cf620465925, 2025-07-15T16:41:17.147Z)
OS version: Darwin arm64 24.5.0
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Apple M3 (8 x 2400)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: enabled_on<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|15, 14, 12|
|Memory (System)|8.00GB (0.08GB free)|
|Process Argv|--crash-reporter-id f817a491-d488-423a-98bd-bd1cd0416c07|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
binariesv615:30325510
962ge761:31350689
h48ei257:31000450
nativeloc1:31344060
5fd0e150:31155592
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
9064b325:31222308
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
pythonpulldiag:31343502
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
9d2cg352:31346308
convertlamdaf:31350062
usemarketplace:31343026
nesew2to5:31336538
agentclaude:31350858
b6b4d950:31327385
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31350020
testaa123:31335226
6abeh943:31336334
yijiwantestdri0626-t:31336930
0927b901:31350571
f76d9909:31348711
nes-deb-00:31346719
0cj2b977:31350606
a02b4192-color:31350622

```

</details>

<!-- generated by issue reporter -->",2025-07-21T03:38:02Z,open,https://github.com/microsoft/vscode/issues/256992,Frustration/Anger,Negative,"The email body initially seems positive as it mentions that the packaged application started successfully. However, towards the end, the tone changes as the user expresses frustration and disappointment that their issue wasn't resolved. They mention that they provided a screenshot of a white page with a 404 error and imply that their concerns weren't addressed properly. The user's tone becomes more negative and questioning, indicating a sentiment of frustration or anger. The fine-grained sentiment is classified as Negative due to the overall tone and content of the email. The emotion sentiment is inferred as Frustration/Anger due to the user's expression of disappointment and concern."
3247060510,FreeCAD Developer in trainning,"
Type: <b>Bug</b>

I was informed that FreeCAD developers would have unlimited access. Although I am in trainning I plan to make serious improvement to this very important software development, Please unlook my account I have no interest in code for anything else.

Extension version: 0.29.1
VS Code version: Code 1.102.1 (7adae6a56e34cb64d08899664b814cf620465925, 2025-07-15T16:41:17.147Z)
OS version: Windows_NT x64 10.0.19045
Modes:

<details>
<summary>System Info</summary>

|Item|Value|
|---|---|
|CPUs|Intel(R) Core(TM) i9-9900KF CPU @ 3.60GHz (16 x 3600)|
|GPU Status|2d_canvas: enabled<br>canvas_oop_rasterization: enabled_on<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>vulkan: disabled_off<br>webgl: enabled<br>webgl2: enabled<br>webgpu: enabled<br>webnn: disabled_off|
|Load (avg)|undefined|
|Memory (System)|31.92GB (18.84GB free)|
|Process Argv|--crash-reporter-id c587f6fa-2227-4ddd-b6ae-4153f0d7e99a|
|Screen Reader|no|
|VM|0%|
</details><details>
<summary>A/B Experiments</summary>

```
vsliv368cf:30146710
binariesv615:30325510
0bi6i642:31350688
2e7ec940:31000449
nativeloc1:31344060
5fd0e150:31155592
dwcopilot:31170013
6074i472:31201624
dwoutputs:31242946
9064b325:31222308
copilot_t_ci:31333650
e5gg6876:31282496
pythoneinst12:31285622
c7cif404:31314491
pythonpulldiag:31343502
996jf627:31283433
pythonrdcb7:31342333
usemplatestapi:31297334
0aa6g176:31307128
747dc170:31275177
aj953862:31281341
generatesymbolt:31295002
convertfstringf:31295003
9d2cg352:31346308
convertlamdat:31350063
usemarketplace:31343026
nesew2to5:31336538
1292j425:31332164
agentclaude:31350858
82j33506:31327384
nes-diff-11:31337487
replacestringexc:31350595
nes-set-on:31350020
6abeh943:31336334
yijiwantestdri0626-c:31336931
0927b901:31350571
ji9b5146:31348712
0cj2b977:31350606
cab2h891-first:31350623

```

</details>

<!-- generated by issue reporter -->",2025-07-21T03:29:23Z,open,https://github.com/microsoft/vscode/issues/256991,Anger,Negative,"The email body expresses frustration and urgency, as the sender requests their account to be unlocked and mentions they have no interest in coding for anything else, indicating a sense of annoyance or anger. The tone is not positive or neutral, and the language used (""Please unlook my account"") implies a negative sentiment. The detailed system information and A/B experiments section seems to be a standard report and does not influence the sentiment. The overall tone suggests a negative sentiment with an emotion of anger."
